Entity ID,Acquisition Start Date,Acquisition End Date,Tile Number,Cloud Cover,Agency,Platform,Vendor,Vendor Tile ID,Orbit Number,Orbit Direction,Vendor Software Version,Production Date,Vendor Product ID,Archiving Center,Datatake Type,Datatake Identifier,Data Type,Product Type,Product Format,Processing Level,Datastrip ID,Datum,Map Projection,UTM Zone,EPSG Code,Resolution,Units,Sun Zenith Angle Mean,Sun Azimuth Angle  Mean,Quantification,Image_Referencing,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE  Corner Lat,NE  Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW  Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
L1C_T50QQL_A034978_20220304T024800,2022-03-04T02:48:00.586Z,2022-03-04T02:53:57.755Z,T50QQL,0.10977,ESA,SENTINEL-2A,VGS2,L1C_T50QQL_A034978_20220304T024800,89,Descending Orbit,04.00,2022-03-04T04:28:45.000000Z,S2A_MSIL1C_20220304T023611_N0400_R089_T50QQL_20220304T042845,VGS2,INS-NOBS,GS2A_20220304T023611_034978_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS2_20220304T042845_S20220304T024800_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,35.7004584201017,143.2083803941540,10000,Y,22°59'42.41"N,119°29'10.51"E,23°29'53.69"N,118°57'29.45"E,23°28'51.72"N,120°01'56.91"E,22°29'25.96"N,120°00'37.53"E,22°30'25.03"N,118°56'38.13"E,22.9951143,119.4862518,23.4982462,118.9581809,23.4810344,120.0324758,22.4905457,120.0104242,22.5069519,118.943926,L1C_T50QQL_A034978_20220304T024800,16794691
L1C_T50QQL_A026098_20220306T023829,2022-03-06T02:38:29.703Z,2022-03-06T02:45:39.028Z,T50QQL,0.85989,ESA,SENTINEL-2B,VGS1,L1C_T50QQL_A026098_20220306T023829,46,Descending Orbit,04.00,2022-03-06T04:18:19.000000Z,S2B_MSIL1C_20220306T022549_N0400_R046_T50QQL_20220306T041819,VGS1,INS-NOBS,GS2B_20220306T022549_026098_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2B_OPER_MSI_L1C_DS_VGS1_20220306T041819_S20220306T023829_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,36.4611242559368,139.1429333027820,10000,Y,22°59'42.41"N,119°29'10.51"E,23°29'53.69"N,118°57'29.45"E,23°28'51.72"N,120°01'56.91"E,22°29'25.96"N,120°00'37.53"E,22°30'25.03"N,118°56'38.13"E,22.9951143,119.4862518,23.4982462,118.9581809,23.4810344,120.0324758,22.4905457,120.0104242,22.5069519,118.943926,L1C_T50QQL_A026098_20220306T023829,16823663
L1C_T50QQK_A026098_20220306T023829,2022-03-06T02:38:29.703Z,2022-03-06T02:45:39.028Z,T50QQK,3.50108,ESA,SENTINEL-2B,VGS1,L1C_T50QQK_A026098_20220306T023829,46,Descending Orbit,04.00,2022-03-06T04:18:19.000000Z,S2B_MSIL1C_20220306T022549_N0400_R046_T50QQK_20220306T041819,VGS1,INS-NOBS,GS2B_20220306T022549_026098_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2B_OPER_MSI_L1C_DS_VGS1_20220306T041819_S20220306T023829_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,35.7546474970594,138.3874327775370,10000,Y,22°05'32.59"N,119°28'12.45"E,22°35'42.91"N,118°56'42.59"E,22°34'43.59"N,120°00'44.42"E,21°35'17.37"N,119°59'28.98"E,21°36'13.82"N,118°55'53.82"E,22.0923866,119.4701258,22.5952529,118.9451638,22.5787754,120.0123391,21.5881579,119.991383,21.60384,118.9316174,L1C_T50QQK_A026098_20220306T023829,16824364
L1C_T50QPL_A026141_20220309T024726,2022-03-09T02:47:26.365Z,2022-03-09T02:55:00.945Z,T50QPL,0.04688,ESA,SENTINEL-2B,VGS1,L1C_T50QPL_A026141_20220309T024726,89,Descending Orbit,04.00,2022-03-09T04:28:12.000000Z,S2B_MSIL1C_20220309T023549_N0400_R089_T50QPL_20220309T042812,VGS1,INS-NOBS,GS2B_20220309T023549_026141_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2B_OPER_MSI_L1C_DS_VGS1_20220309T042812_S20220309T024726_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,34.5161617065093,140.2951030277700,10000,Y,23°00'26.72"N,118°30'41.23"E,23°30'26.91"N,117°58'46.03"E,23°29'49.22"N,119°03'16.18"E,22°30'20.77"N,119°02'22.35"E,22°30'56.70"N,117°58'20.35"E,23.0074215,118.511452,23.5074763,117.9794527,23.4970055,119.0544957,22.5057693,119.0395409,22.51575,117.9723185,L1C_T50QPL_A026141_20220309T024726,16865918
L1C_T50QPK_A026141_20220309T024726,2022-03-09T02:47:26.365Z,2022-03-09T02:55:00.945Z,T50QPK,8.39443,ESA,SENTINEL-2B,VGS1,L1C_T50QPK_A026141_20220309T024726,89,Descending Orbit,04.00,2022-03-09T04:28:12.000000Z,S2B_MSIL1C_20220309T023549_N0400_R089_T50QPK_20220309T042812,VGS1,INS-NOBS,GS2B_20220309T023549_026141_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2B_OPER_MSI_L1C_DS_VGS1_20220309T042812_S20220309T024726_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,33.7946214095433,139.5105262492890,10000,Y,22°06'14.97"N,118°30'05.91"E,22°36'14.72"N,117°58'22.58"E,22°35'38.63"N,119°02'27.02"E,21°36'09.76"N,119°01'35.86"E,21°36'44.10"N,117°57'58.17"E,22.1041598,118.5016409,22.6040892,117.972938,22.5940651,119.0408395,21.6027096,119.0266278,21.6122496,117.9661585,L1C_T50QPK_A026141_20220309T024726,16865932
L1C_T50QQL_A026141_20220309T024726,2022-03-09T02:47:26.365Z,2022-03-09T02:55:00.945Z,T50QQL,0.83436,ESA,SENTINEL-2B,VGS1,L1C_T50QQL_A026141_20220309T024726,89,Descending Orbit,04.00,2022-03-09T04:28:12.000000Z,S2B_MSIL1C_20220309T023549_N0400_R089_T50QQL_20220309T042812,VGS1,INS-NOBS,GS2B_20220309T023549_026141_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2B_OPER_MSI_L1C_DS_VGS1_20220309T042812_S20220309T024726_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,33.9478865143803,141.6740023240000,10000,Y,22°59'42.41"N,119°29'10.51"E,23°29'53.69"N,118°57'29.45"E,23°28'51.72"N,120°01'56.91"E,22°29'25.96"N,120°00'37.53"E,22°30'25.03"N,118°56'38.13"E,22.9951143,119.4862518,23.4982462,118.9581809,23.4810344,120.0324758,22.4905457,120.0104242,22.5069519,118.943926,L1C_T50QQL_A026141_20220309T024726,16865999
L1C_T50QQK_A026141_20220309T024726,2022-03-09T02:47:26.365Z,2022-03-09T02:55:00.945Z,T50QQK,6.69445,ESA,SENTINEL-2B,VGS1,L1C_T50QQK_A026141_20220309T024726,89,Descending Orbit,04.00,2022-03-09T04:28:12.000000Z,S2B_MSIL1C_20220309T023549_N0400_R089_T50QQK_20220309T042812,VGS1,INS-NOBS,GS2B_20220309T023549_026141_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2B_OPER_MSI_L1C_DS_VGS1_20220309T042812_S20220309T024726_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,33.2175265544341,140.8893845909390,10000,Y,22°05'32.59"N,119°28'12.45"E,22°35'42.91"N,118°56'42.59"E,22°34'43.59"N,120°00'44.42"E,21°35'17.37"N,119°59'28.98"E,21°36'13.82"N,118°55'53.82"E,22.0923866,119.4701258,22.5952529,118.9451638,22.5787754,120.0123391,21.5881579,119.991383,21.60384,118.9316174,L1C_T50QQK_A026141_20220309T024726,16866952
L1C_T50QQL_A035078_20220311T023921,2022-03-11T02:39:21.601Z,2022-03-11T02:45:11.555Z,T50QQL,0.00000,ESA,SENTINEL-2A,VGS2,L1C_T50QQL_A035078_20220311T023921,46,Descending Orbit,04.00,2022-03-11T04:17:37.000000Z,S2A_MSIL1C_20220311T022551_N0400_R046_T50QQL_20220311T041737,VGS2,INS-NOBS,GS2A_20220311T022551_035078_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS2_20220311T041737_S20220311T023921_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,34.7151009540198,137.5351265872330,10000,Y,22°59'42.41"N,119°29'10.51"E,23°29'53.69"N,118°57'29.45"E,23°28'51.72"N,120°01'56.91"E,22°29'25.96"N,120°00'37.53"E,22°30'25.03"N,118°56'38.13"E,22.9951143,119.4862518,23.4982462,118.9581809,23.4810344,120.0324758,22.4905457,120.0104242,22.5069519,118.943926,L1C_T50QQL_A035078_20220311T023921,16893882
L1C_T50QQK_A035078_20220311T023921,2022-03-11T02:39:21.601Z,2022-03-11T02:45:11.555Z,T50QQK,0.00000,ESA,SENTINEL-2A,VGS2,L1C_T50QQK_A035078_20220311T023921,46,Descending Orbit,04.00,2022-03-11T04:17:37.000000Z,S2A_MSIL1C_20220311T022551_N0400_R046_T50QQK_20220311T041737,VGS2,INS-NOBS,GS2A_20220311T022551_035078_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS2_20220311T041737_S20220311T023921_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,34.0251337893370,136.6988478019120,10000,Y,22°05'32.59"N,119°28'12.45"E,22°35'42.91"N,118°56'42.59"E,22°34'43.59"N,120°00'44.42"E,21°35'17.37"N,119°59'28.98"E,21°36'13.82"N,118°55'53.82"E,22.0923866,119.4701258,22.5952529,118.9451638,22.5787754,120.0123391,21.5881579,119.991383,21.60384,118.9316174,L1C_T50QQK_A035078_20220311T023921,16894188
L1C_T50QQL_A035121_20220314T024859,2022-03-14T02:48:59.954Z,2022-03-14T03:00:29.038Z,T50QQL,15.47473,ESA,SENTINEL-2A,VGS4,L1C_T50QQL_A035121_20220314T024859,89,Descending Orbit,04.00,2022-03-14T05:26:06.000000Z,S2A_MSIL1C_20220314T023551_N0400_R089_T50QQL_20220314T052606,VGS4,INS-NOBS,GS2A_20220314T023551_035121_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS4_20220314T052606_S20220314T024859_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,32.1433789628583,140.1057180510920,10000,Y,22°59'42.41"N,119°29'10.51"E,23°29'53.69"N,118°57'29.45"E,23°28'51.72"N,120°01'56.91"E,22°29'25.96"N,120°00'37.53"E,22°30'25.03"N,118°56'38.13"E,22.9951143,119.4862518,23.4982462,118.9581809,23.4810344,120.0324758,22.4905457,120.0104242,22.5069519,118.943926,L1C_T50QQL_A035121_20220314T024859,16941272
L1C_T50QQK_A026384_20220326T023827,2022-03-26T02:38:27.697Z,2022-03-26T02:45:37.021Z,T50QQK,20.10321,ESA,SENTINEL-2B,VGS1,L1C_T50QQK_A026384_20220326T023827,46,Descending Orbit,04.00,2022-03-26T04:19:38.000000Z,S2B_MSIL1C_20220326T022549_N0400_R046_T50QQK_20220326T041938,VGS1,INS-NOBS,GS2B_20220326T022549_026384_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2B_OPER_MSI_L1C_DS_VGS1_20220326T041938_S20220326T023827_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,28.9254490392473,130.5886408957320,10000,Y,22°05'32.59"N,119°28'12.45"E,22°35'42.91"N,118°56'42.59"E,22°34'43.59"N,120°00'44.42"E,21°35'17.37"N,119°59'28.98"E,21°36'13.82"N,118°55'53.82"E,22.0923866,119.4701258,22.5952529,118.9451638,22.5787754,120.0123391,21.5881579,119.991383,21.60384,118.9316174,L1C_T50QQK_A026384_20220326T023827,17116167
L1C_T50QQK_A035364_20220331T023825,2022-03-31T02:38:25.485Z,2022-03-31T02:50:30.647Z,T50QQK,16.56432,ESA,SENTINEL-2A,VGS4,L1C_T50QQK_A035364_20220331T023825,46,Descending Orbit,04.00,2022-03-31T05:27:59.000000Z,S2A_MSIL1C_20220331T022551_N0400_R046_T50QQK_20220331T052759,VGS4,INS-NOBS,GS2A_20220331T022551_035364_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS4_20220331T052759_S20220331T023825_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,27.2819808039708,128.2009330016600,10000,Y,22°05'32.59"N,119°28'12.45"E,22°35'42.91"N,118°56'42.59"E,22°34'43.59"N,120°00'44.42"E,21°35'17.37"N,119°59'28.98"E,21°36'13.82"N,118°55'53.82"E,22.0923866,119.4701258,22.5952529,118.9451638,22.5787754,120.0123391,21.5881579,119.991383,21.60384,118.9316174,L1C_T50QQK_A035364_20220331T023825,17193978
L1C_T50QQK_A026527_20220405T023827,2022-04-05T02:38:27.702Z,2022-04-05T02:45:37.027Z,T50QQK,13.83828,ESA,SENTINEL-2B,VGS1,L1C_T50QQK_A026527_20220405T023827,46,Descending Orbit,04.00,2022-04-05T04:19:06.000000Z,S2B_MSIL1C_20220405T022549_N0400_R046_T50QQK_20220405T041906,VGS1,INS-NOBS,GS2B_20220405T022549_026527_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2B_OPER_MSI_L1C_DS_VGS1_20220405T041906_S20220405T023827_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,25.7453116225087,125.5083707379000,10000,Y,22°05'32.59"N,119°28'12.45"E,22°35'42.91"N,118°56'42.59"E,22°34'43.59"N,120°00'44.42"E,21°35'17.37"N,119°59'28.98"E,21°36'13.82"N,118°55'53.82"E,22.0923866,119.4701258,22.5952529,118.9451638,22.5787754,120.0123391,21.5881579,119.991383,21.60384,118.9316174,L1C_T50QQK_A026527_20220405T023827,17271919
L1C_T50QQL_A026527_20220405T023827,2022-04-05T02:38:27.702Z,2022-04-05T02:45:37.027Z,T50QQL,19.35690,ESA,SENTINEL-2B,VGS1,L1C_T50QQL_A026527_20220405T023827,46,Descending Orbit,04.00,2022-04-05T04:19:06.000000Z,S2B_MSIL1C_20220405T022549_N0400_R046_T50QQL_20220405T041906,VGS1,INS-NOBS,GS2B_20220405T022549_026527_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2B_OPER_MSI_L1C_DS_VGS1_20220405T041906_S20220405T023827_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,26.3125136212994,126.9321163322950,10000,Y,22°59'42.41"N,119°29'10.51"E,23°29'53.69"N,118°57'29.45"E,23°28'51.72"N,120°01'56.91"E,22°29'25.96"N,120°00'37.53"E,22°30'25.03"N,118°56'38.13"E,22.9951143,119.4862518,23.4982462,118.9581809,23.4810344,120.0324758,22.4905457,120.0104242,22.5069519,118.943926,L1C_T50QQL_A026527_20220405T023827,17272595
L1C_T50QQL_A026570_20220408T024638,2022-04-08T02:46:38.470Z,2022-04-08T02:54:13.050Z,T50QQL,27.57206,ESA,SENTINEL-2B,VGS1,L1C_T50QQL_A026570_20220408T024638,89,Descending Orbit,04.00,2022-04-08T04:30:07.000000Z,S2B_MSIL1C_20220408T023549_N0400_R089_T50QQL_20220408T043007,VGS1,INS-NOBS,GS2B_20220408T023549_026570_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2B_OPER_MSI_L1C_DS_VGS1_20220408T043007_S20220408T024638_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,23.5800865188619,129.3261205977130,10000,Y,22°59'42.41"N,119°29'10.51"E,23°29'53.69"N,118°57'29.45"E,23°28'51.72"N,120°01'56.91"E,22°29'25.96"N,120°00'37.53"E,22°30'25.03"N,118°56'38.13"E,22.9951143,119.4862518,23.4982462,118.9581809,23.4810344,120.0324758,22.4905457,120.0104242,22.5069519,118.943926,L1C_T50QQL_A026570_20220408T024638,17316496
L1C_T50QPL_A026570_20220408T024638,2022-04-08T02:46:38.470Z,2022-04-08T02:54:13.050Z,T50QPL,29.84631,ESA,SENTINEL-2B,VGS1,L1C_T50QPL_A026570_20220408T024638,89,Descending Orbit,04.00,2022-04-08T04:30:07.000000Z,S2B_MSIL1C_20220408T023549_N0400_R089_T50QPL_20220408T043007,VGS1,INS-NOBS,GS2B_20220408T023549_026570_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2B_OPER_MSI_L1C_DS_VGS1_20220408T043007_S20220408T024638_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,24.2820660834888,127.7252722771040,10000,Y,23°00'26.72"N,118°30'41.23"E,23°30'26.91"N,117°58'46.03"E,23°29'49.22"N,119°03'16.18"E,22°30'20.77"N,119°02'22.35"E,22°30'56.70"N,117°58'20.35"E,23.0074215,118.511452,23.5074763,117.9794527,23.4970055,119.0544957,22.5057693,119.0395409,22.51575,117.9723185,L1C_T50QPL_A026570_20220408T024638,17316708
L1C_T50QQK_A035507_20220410T023825,2022-04-10T02:38:25.488Z,2022-04-10T02:50:27.042Z,T50QQK,28.54657,ESA,SENTINEL-2A,VGS4,L1C_T50QQK_A035507_20220410T023825,46,Descending Orbit,04.00,2022-04-10T05:13:49.000000Z,S2A_MSIL1C_20220410T022551_N0400_R046_T50QQK_20220410T051349,VGS4,INS-NOBS,GS2A_20220410T022551_035507_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS4_20220410T051349_S20220410T023825_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,24.2731079829324,122.6219972236760,10000,Y,22°05'32.59"N,119°28'12.45"E,22°35'42.91"N,118°56'42.59"E,22°34'43.59"N,120°00'44.42"E,21°35'17.37"N,119°59'28.98"E,21°36'13.82"N,118°55'53.82"E,22.0923866,119.4701258,22.5952529,118.9451638,22.5787754,120.0123391,21.5881579,119.991383,21.60384,118.9316174,L1C_T50QQK_A035507_20220410T023825,17348520
L1C_T50QQL_A035507_20220410T023825,2022-04-10T02:38:25.488Z,2022-04-10T02:50:27.042Z,T50QQL,13.25225,ESA,SENTINEL-2A,VGS4,L1C_T50QQL_A035507_20220410T023825,46,Descending Orbit,04.00,2022-04-10T05:13:49.000000Z,S2A_MSIL1C_20220410T022551_N0400_R046_T50QQL_20220410T051349,VGS4,INS-NOBS,GS2A_20220410T022551_035507_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS4_20220410T051349_S20220410T023825_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,24.8051812481910,124.2051418485610,10000,Y,22°59'42.41"N,119°29'10.51"E,23°29'53.69"N,118°57'29.45"E,23°28'51.72"N,120°01'56.91"E,22°29'25.96"N,120°00'37.53"E,22°30'25.03"N,118°56'38.13"E,22.9951143,119.4862518,23.4982462,118.9581809,23.4810344,120.0324758,22.4905457,120.0104242,22.5069519,118.943926,L1C_T50QQL_A035507_20220410T023825,17348535
L1C_T50QPK_A035550_20220413T024857,2022-04-13T02:48:57.950Z,2022-04-13T03:00:27.035Z,T50QPK,5.71797,ESA,SENTINEL-2A,VGS4,L1C_T50QPK_A035550_20220413T024857,89,Descending Orbit,04.00,2022-04-13T05:18:44.000000Z,S2A_MSIL1C_20220413T023551_N0400_R089_T50QPK_20220413T051844,VGS4,INS-NOBS,GS2A_20220413T023551_035550_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS4_20220413T051844_S20220413T024857_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,22.2517003702269,123.1264303654690,10000,Y,22°06'14.97"N,118°30'05.91"E,22°36'14.72"N,117°58'22.58"E,22°35'38.63"N,119°02'27.02"E,21°36'09.76"N,119°01'35.86"E,21°36'44.10"N,117°57'58.17"E,22.1041598,118.5016409,22.6040892,117.972938,22.5940651,119.0408395,21.6027096,119.0266278,21.6122496,117.9661585,L1C_T50QPK_A035550_20220413T024857,17391708
L1C_T50QQL_A035550_20220413T024857,2022-04-13T02:48:57.950Z,2022-04-13T03:00:27.035Z,T50QQL,6.77795,ESA,SENTINEL-2A,VGS4,L1C_T50QQL_A035550_20220413T024857,89,Descending Orbit,04.00,2022-04-13T05:18:44.000000Z,S2A_MSIL1C_20220413T023551_N0400_R089_T50QQL_20220413T051844,VGS4,INS-NOBS,GS2A_20220413T023551_035550_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS4_20220413T051844_S20220413T024857_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,22.0676927531548,126.4551359287050,10000,Y,22°59'42.41"N,119°29'10.51"E,23°29'53.69"N,118°57'29.45"E,23°28'51.72"N,120°01'56.91"E,22°29'25.96"N,120°00'37.53"E,22°30'25.03"N,118°56'38.13"E,22.9951143,119.4862518,23.4982462,118.9581809,23.4810344,120.0324758,22.4905457,120.0104242,22.5069519,118.943926,L1C_T50QQL_A035550_20220413T024857,17391763
L1C_T50QPL_A035550_20220413T024857,2022-04-13T02:48:57.950Z,2022-04-13T03:00:27.035Z,T50QPL,18.62211,ESA,SENTINEL-2A,VGS4,L1C_T50QPL_A035550_20220413T024857,89,Descending Orbit,04.00,2022-04-13T05:18:44.000000Z,S2A_MSIL1C_20220413T023551_N0400_R089_T50QPL_20220413T051844,VGS4,INS-NOBS,GS2A_20220413T023551_035550_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS4_20220413T051844_S20220413T024857_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,22.7960227473746,124.8493389701940,10000,Y,23°00'26.72"N,118°30'41.23"E,23°30'26.91"N,117°58'46.03"E,23°29'49.22"N,119°03'16.18"E,22°30'20.77"N,119°02'22.35"E,22°30'56.70"N,117°58'20.35"E,23.0074215,118.511452,23.5074763,117.9794527,23.4970055,119.0544957,22.5057693,119.0395409,22.51575,117.9723185,L1C_T50QPL_A035550_20220413T024857,17391996
L1C_T50QQK_A035550_20220413T024857,2022-04-13T02:48:57.950Z,2022-04-13T03:00:27.035Z,T50QQK,3.79516,ESA,SENTINEL-2A,VGS4,L1C_T50QQK_A035550_20220413T024857,89,Descending Orbit,04.00,2022-04-13T05:18:44.000000Z,S2A_MSIL1C_20220413T023551_N0400_R089_T50QQK_20220413T051844,VGS4,INS-NOBS,GS2A_20220413T023551_035550_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS4_20220413T051844_S20220413T024857_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,21.5086706635390,124.6954216817390,10000,Y,22°05'32.59"N,119°28'12.45"E,22°35'42.91"N,118°56'42.59"E,22°34'43.59"N,120°00'44.42"E,21°35'17.37"N,119°59'28.98"E,21°36'13.82"N,118°55'53.82"E,22.0923866,119.4701258,22.5952529,118.9451638,22.5787754,120.0123391,21.5881579,119.991383,21.60384,118.9316174,L1C_T50QQK_A035550_20220413T024857,17392261
L1C_T50QQL_A026670_20220415T023801,2022-04-15T02:38:01.445Z,2022-04-15T02:45:10.770Z,T50QQL,2.91290,ESA,SENTINEL-2B,VGS1,L1C_T50QQL_A026670_20220415T023801,46,Descending Orbit,04.00,2022-04-15T04:18:15.000000Z,S2B_MSIL1C_20220415T022549_N0400_R046_T50QQL_20220415T041815,VGS1,INS-NOBS,GS2B_20220415T022549_026670_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2B_OPER_MSI_L1C_DS_VGS1_20220415T041815_S20220415T023801_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,23.4433539478882,121.1609349834170,10000,Y,22°59'42.41"N,119°29'10.51"E,23°29'53.69"N,118°57'29.45"E,23°28'51.72"N,120°01'56.91"E,22°29'25.96"N,120°00'37.53"E,22°30'25.03"N,118°56'38.13"E,22.9951143,119.4862518,23.4982462,118.9581809,23.4810344,120.0324758,22.4905457,120.0104242,22.5069519,118.943926,L1C_T50QQL_A026670_20220415T023801,17418058
L1C_T50QQK_A026670_20220415T023801,2022-04-15T02:38:01.445Z,2022-04-15T02:45:10.770Z,T50QQK,23.26157,ESA,SENTINEL-2B,VGS1,L1C_T50QQK_A026670_20220415T023801,46,Descending Orbit,04.00,2022-04-15T04:18:15.000000Z,S2B_MSIL1C_20220415T022549_N0400_R046_T50QQK_20220415T041815,VGS1,INS-NOBS,GS2B_20220415T022549_026670_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2B_OPER_MSI_L1C_DS_VGS1_20220415T041815_S20220415T023801_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,22.9519685622669,119.4079249202010,10000,Y,22°05'32.59"N,119°28'12.45"E,22°35'42.91"N,118°56'42.59"E,22°34'43.59"N,120°00'44.42"E,21°35'17.37"N,119°59'28.98"E,21°36'13.82"N,118°55'53.82"E,22.0923866,119.4701258,22.5952529,118.9451638,22.5787754,120.0123391,21.5881579,119.991383,21.60384,118.9316174,L1C_T50QQK_A026670_20220415T023801,17418817
L1C_T50QPK_A026713_20220418T024413,2022-04-18T02:44:13.152Z,2022-04-18T02:51:47.732Z,T50QPK,20.43492,ESA,SENTINEL-2B,VGS1,L1C_T50QPK_A026713_20220418T024413,89,Descending Orbit,04.00,2022-04-18T04:29:25.000000Z,S2B_MSIL1C_20220418T023549_N0400_R089_T50QPK_20220418T042925,VGS1,INS-NOBS,GS2B_20220418T023549_026713_N04.00,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2B_OPER_MSI_L1C_DS_VGS1_20220418T042925_S20220418T024413_N04.00,WGS84,UTM,50N,32650,10  20  60,METER,20.9740525825260,119.6778230267450,10000,Y,22°06'14.97"N,118°30'05.91"E,22°36'14.72"N,117°58'22.58"E,22°35'38.63"N,119°02'27.02"E,21°36'09.76"N,119°01'35.86"E,21°36'44.10"N,117°57'58.17"E,22.1041598,118.5016409,22.6040892,117.972938,22.5940651,119.0408395,21.6027096,119.0266278,21.6122496,117.9661585,L1C_T50QPK_A026713_20220418T024413,17428204
